Scheme Name,Details,Benefits,Eligibility,Application Process,Documents Required
Chief Minister Sustainable Agriculture Irrigation Scheme - Magel Tyala Shettale (Individual Farm Pond),"Chief Minister Sustainable Agriculture Irrigation Scheme-Magel Tyala Shettale (Individual Farm Pond) has been launched by Ministry of Agriculture, Animal Husbandry, Dairy Development & Fishries Department, Maharashtra State in the year 2022-23 (vide G.R. Dated 29 th June, 2022) Out of total area, 82 percent area of agriculture land in the state is rainfed and is dependent on rainfall. Water stress due to uneven distribution of rains and periodic interruptions in rains leads to large reduction in crop production. Sometimes crops are also destroyed. Farm ponds, in such situation plays an important role in providing protective irrigation and reduces crop losses substantially. Considering this matter, Chief Minister Sustainable Agriculture Irrigation Scheme-Individual Farm Pond has been sanctioned by the Maharashtra State Govt. vide G.R. Dated 29th June,2022. The scheme is implemented in all districts of the state. Under this scheme the subsidy payable to individual farmer is minimum Rs 14433/- and maximum Rs 75000/- depending on the size of the farm pond. Farmers should hold at least 0.20 ha land in Kokan region, while it is 0.40 ha limit for rest of the Maharashtra. Online applications are invited from farmers under Maha-DBT portal. The scheme is implemented by selecting the beneficiaries online through Maha-DBT portal. After completion of the farm pond, the subsidy payable under the scheme is credited through the PFMS system to theAadhaar number linked bank account of the farmer. The farm ponds are of two types one being with inlet outlet and the other without inlet and outlet type.",Financial Assistance is given to farmers. The subsidy payable to an individual farmer minimum Rs.14433/- and maximum Rs.75000/- depending on the size of the farm pond.,"Farmer should hold at least (Minimum) 0.20 ha. land and Kokan region, while it is 0.40 ha. limit for rest of Maharashtra. The applicant farmers land will have to be technically suitable for digging farm pond. So that the runoff rainwater can be stored in the farm pond through natural flow and recharge will be possible. In case of farm ponds without inlet and outlet there should be a natural source from where extra runoff during rainy season can be lifted and stored in farm pond. Before applying for farm pond, the applicant farmers should not have availed the subsidy for farm pond, community tank or bodi in paddy bunding or any Government Scheme.","Online Step 01: Farmer Registration. Step 02: Select user type and complete Aadhar authentication. Step 03: Profile completion (Mobile number, Address details, Land & land holding information). Step 04: Apply for Individual Farm Pond (a) select scheme Chief Minister Sustainable Agriculture Irrigation Scheme (b) Select farm pond type (with inlet outlet or without inlet outlet) (c) Select farm pond size. Link: https://mahadbt.maharashtra.gov.in/","Aadhaar Card; Residential Proof: Voter ID, Ration Card, or other valid documents confirming Maharashtra residency; Proof of Land Ownership: 7/12 extract or land ownership certificate must be provided; Additional Land Records: 8A extract to support ownership and land details; Bank Account Details: Copy of the first page of bank passbook to verify account details; Passport Size Photograph: Recent photo to be attached with the application form"
Mahila Samridhi Yojana (Maharashtra),"The scheme ""Mahila Samridhi Yojana"" is administered by the Department of Social Justice & Special Assistance, Government of Maharashtra, and funded by the National Scheduled Castes Finance and Development Corporation (NSFDC). The scheme aims to uplift economically weaker women from the Charmakar Community. The scheme focuses on providing educational, economic, and social development to ensure a respectable position in society for Charmakars (Dhor, Chambhar, Holar, Mochi, etc.). Eligible female beneficiaries from the Charmakar Community are granted loans ranging from ₹25,000/- to ₹50,000/- at a low interest rate of 4% per annum.","Loan ranging from ₹25,000/- to ₹50,000/- is provided at a low interest rate of 4% per annum.","The applicant should be a female. The applicant should belong to the Charmakar Community. The applicant's age should be between 18 and 50 years. The applicant should be a permanent resident of Maharashtra. The applicant must have knowledge of the business for which the loan is being applied. For the 50% Subsidy Scheme and Margin Money, the applicant's annual income must be below the poverty line. For the NSFDC Scheme, the applicant's annual income should be below ₹98,000 for rural areas and ₹1,20,000 for urban areas. Relaxation/Preference/Priority: Widows and divorcees are given priority.","Offline Step 1: The interested applicant should visit (during office hours) the District Office of LIDCOM and request the hard copy of the prescribed format of the application form from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the District Office of LIDCOM. Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Income and caste certificate issued by an authorized government officer
Educational Assistance to the Children Studying in 1st to 7th and 8th to 10th Class,"The Educational Assistance to the Children Studying in 1st to 7th and 8th to 10th Class scheme is implemented by the Maharashtra Building And Other Construction Workers Welfare Board (MBOCWW), Labour Department Maharashtra. Under this scheme, educational assistance of ₹2,500/- to the children studying in 1st to 7th standard and ₹5,000/- for the children studying in 8th to 10th standard of the registered construction workers. The scheme covers up to two children and the wife of a registered male worker.","Financial Assistance: 1st to 7th Class: ₹2,500/- 8th to 10th Class: ₹5,000/-",The worker should be engaged in a building or other construction work. The worker should be registered under the Maharashtra Building & Other Construction Workers Welfare Board. The children or a registered male worker's wife should be enrolled in any grade from Class 1st to 10th. Only two children or a registered male worker's wife will be entitled to scholarships.,"Offline Step-1: The interested applicant downloads the application form from the MBOCWW official website. Step-2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the Labor Commissioner / Government Labor Officer. Step-4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Passport-size Photo; Aadhaar Card; Identity Card of Maharashtra Building and Other Construction Workers Welfare Board; Bank Passbook; School Certificate of 75% Attendance; Proof of Residence (One of Aadhaar Card/Passport/Driving License/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate)
Indira Gandhi National Widow Pension Scheme (Maharashtra),"The scheme ""Indira Gandhi National Widow Pension Scheme (Maharashtra)"" is a social welfare scheme implemented by the Social Justice & Special Assistance Department, Government of Maharashtra. Under this Centrally Sponsored Scheme, widows aged 40 to 79 years who are from a Below Poverty Line family are eligible to receive ₹1500/- per month as pension.",A pension of ₹1500 per month is given to each beneficiary. NOTE: ₹300/- per month from the central government and ₹1200/- per month under the state-sponsored Sanjay Gandhi Niradhar Anudan Yojana.,The applicant should be a resident of Maharashtra. The applicant should be a widow. The age of the applicant should be between 40 and 79 years. The applicant should belong to a Below Poverty Line (BPL) family. The applicant should not be receiving pension benefits under any social security scheme.,"Offline Step 1: The interested applicant should visit (during office hours) the Collector’s Office / Tehsildar’s Office, Sanjay Gandhi Niradhar Anudan Yojana Branch / Talathi Office of your district, and request a hard copy of the prescribed format of the application form from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the concerned authority. Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Aadhaar Card; Passport-size Photograph; Identity Proof i.e. Voter ID Card, Driving License; Death Certificate of Husband; Residence Proof; Proof of Age; Below Poverty Line (BPL) Card/ Related Documents; Caste Certificate, if Applicable; Address Proof; Bank Passbook/ Bank Account Details; Any Other Documents as Required"
Indira Gandhi National Old Age Pension Scheme (Maharashtra),"The scheme ""Indira Gandhi National Old Age Pension"" is a social welfare scheme by the Social Justice & Special Assistance Department, Government of Maharashtra. In this scheme, ₹600 per month is provided to elderly individuals aged 65 years and above from BPL families.",A monthly financial assistance of ₹600/-,The applicant should be a resident of Maharashtra. The applicant should be 65 years of age or older. The applicant should be from a Below Poverty Line (BPL) family. The applicant should not be receiving pension benefits under any social security scheme.,"Offline Step 1: The interested applicant should visit (during office hours) the Collector Office/Tahsildar/Talathi of your district, and request the hard copy of the prescribed format of the application form from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the concerned authority. Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Aadhaar card of the applicant; Passport-size photograph; Identity proof i.e. Voter ID Card, Driving License; Residence Proof; Proof of age; Below Poverty Line (BPL) Card/related documents; Caste certificate, if applicable; Address proof; Bank Passbook/Bank account details; Any other documents as required"
Mahila Kisan Yojana (Maharashtra),"The scheme ""Mahila Kisan Yojana"" is implemented by the Department of Social Justice & Special Assistance, Government of Maharashtra, in collaboration with the National Scheduled Castes Finance and Development Corporation (NSFDC). The scheme aims to uplift the lifestyle of economically disadvantaged Charmakar communities (such as Dhor, Chambhar, Holar, and Mochi). The scheme promotes educational, economic, and social development to ensure a respectable place in society. Additionally, it supports the production and sale of various types of footwear and leather articles to government departments and the open market.","Total Loan Amount: The scheme provides financial assistance of ₹50,000 for eligible female beneficiaries. Subsidy Provided: A subsidy of ₹10,000 is granted, reducing the effective loan burden on the beneficiary. Loan Component: The remaining ₹40,000 is provided as a loan with an affordable interest rate of 5% per annum.","The applicant should be a permanent resident of Maharashtra. The applicant should be a female. The applicant should belong to the Charmakar Community. The applicant's age should be between 18 to 50 years. The applicant must have knowledge of the business for which they are applying for a loan. The applicant must have her own name, or joint name with her husband, or her husband’s name (with affidavit) on the 7/12 land extract for agricultural project loans. For the 50% Subsidy Scheme and Margin Money, her annual income must be below the poverty line. For the NSFDC Scheme, the income limit is ₹98,000 for rural areas and ₹1,20,000 for urban areas.","Offline. Step 1: The interested applicant should visit (during office hours) the District Office of  Leather Industries Development Corporation of Maharashtra (LIDCOM), and request the hard copy of the prescribed format of the application form from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the District Office of  Leather Industries Development Corporation of Maharashtra (LIDCOM). Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). NOTE: Ensure that the application is submitted within the prescribed period, if any.","Completed application form from the LIDCOM District Office. Recent passport-size photograph. Valid Income Certificate (issued by an authorized government officer). Caste Certificate (Charmakar Community). Proof of Residence (Maharashtra). 7/12 Land Extract: Applicant’s name, joint name with husband, or husband’s name (with affidavit) for agricultural loans. Knowledge or experience proof relevant to the proposed business/project."
LIDCOM Gattai Stall Scheme,"Being implemented particularly for the (Scheduled Caste) Charmakar Community, the ""Gattai Stall Scheme"" is a scheme by the Leather Industries Development Corporation (LIDCOM), Govt. of Maharashtra. This scheme is being implemented for the Roadsides Cobblers. The scheme provides a 100% subsidy for the erection of a Tin Stall of Size 4’ x 5’ x 6.5’ costing ₹16,367/- per stall and ₹500/- incidental charges. Only citizens who are permanent residents of the state of Maharashtra are eligible to apply for this scheme. This scheme is completely funded by the Govt. of Maharashtra. The main objective of LIDCOM is to implement various schemes to uplift the lifestyle of Charmakars (Dhor, Chambhar, Holar, Mochi, etc.) who are economically weak and below the poverty line and with an intention to develop them educationally, economically, and socially so as to give them a respectable place in society.","The scheme provides a 100% subsidy for the erection of a Tin Stall of Size 4’ x 5’ x 6.5’ costing ₹16,367/- per stall and ₹500/- incidental charges.","The applicant should be a citizen of India. The applicant should be a Roadside Cobbler identified by the Gram Panchayat. The applicant should be a permanent resident of Maharashtra State. The applicant should be in the 18 to 50 years age group. The applicant should be from Charmakar Community only (Dhor, Chambhar, Holar, Mochi, etc.). The annual income of the family of the applicant should be less than or equal to ₹1,00,000/-. The applicant should have knowledge of the business for which he has applied for the loan.","Offline. Step 1: Take the format of the application form from the District Office of LIDCOM. Step 2: Fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach all the (self-attested) mandatory documents. Step 3: Submit the duly filled and signed application form along with the documents to the District Office. Step 4: Acquire the receipt/acknowledgment of the successful submission of the application form from the District Office.","Aadhaar Card. Proof of Age (Birth Certificate, Marksheet of Class 10th/12th, etc). 2-Passport Sized Photograph (Signed Across). Residential Certificate / Domicile Certificate of the State of Maharashtra. Proof of being a Roadside Cobbler (issued by the Gram Panchayat). Income Certificate issued by an Authorised Govt.Officer. Caste Certificate issued by an Authorised Govt.Officer. Details of the Bank Account (Bank Name, Branch Name, Address, IFSC, etc). Any other document required by the District Office of LIDCOM."
The Scheme of State Award for Disabled,"The ""The Scheme of State Award for Disabled"" is a scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. In this scheme, every year, the State Government felicitates awards to the Best Disabled Employees / Employers / Placement Agencies who have done outstanding work in various fields. Only citizens who are permanent residents of the state of Maharashtra are eligible to apply for this scheme. This scheme is 100% funded by the Govt. of Maharashtra.","Category 1: Best Employees (Visually Handicapped, Hearing Handicapped, Orthopedically Handicapped, Mentally Retarded). No. of Awards: 12. Composition of Award: ₹10,000/- in Cash, a Citation, and a Certificate. Category 2: Best Employer (Govt. / Public / Private Sector). No. of Awards: 2. Composition of Award: ₹25,000/- in Cash, a Citation, and a Certificate.","The applicant should be an Employee or an Employer or a Placement Agency. If the applicant is an Employee or an Employer: The applicant should be a Person with Disability (Visually Impaired, Hearing Impaired, Orthopedically Handicapped, etc). The percentage of disability should be 40% and above. The applicant should be a citizen of India. The applicant should be a permanent resident of the state of Maharashtra.","Offline. Step 1: Visit the District Social Welfare Office, and request a hard copy of the format of the application form for the scheme from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach all the (self-attested) mandatory documents. Step 3: Submit the duly filled and signed application form along with the documents to the Assistant Commissioner, District Social Welfare Office. Step 4: Acquire the receipt/acknowledgment of the successful submission of the application form from the District Social Welfare Office.","Aadhaar Card. Proof of Employment. Bio-Data. Proof of Outstanding Work in the respective field. Proof of Age (Birth Certificate, Marksheet of Class 10th/12th, etc). 2-Passport Sized Photograph (Signed Across). Residential Certificate / Domicile Certificate of the State of Maharashtra. Disability Certificate. Details of the Bank Account (Bank Name, Branch Name, Address, IFSC, etc). Any other document required by the District Social Welfare Office."
Merit Awards,"The ""Merit Awards"" is a scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. In this scheme, awards are given to the students with disability who rank 1st, 2nd, and 3rd among disabled students in the Secondary School Certificate (S.S.C.) and Higher Secondary Certificate (H.S.C.) in their respective divisional boards of education. Only citizens who are permanent residents of the state of Maharashtra are eligible to apply for this scheme. This scheme is 100% funded by the Govt. of Maharashtra.","The quantum of the award is ₹1,000/- cash amount, certificate. The beneficiary is also provided travel expenses to attend the place of the award, and felicitation up to an amount ₹100/- per student.","The applicant should be a citizen of India. The applicant should be a permanent resident of Maharashtra State. The applicant should be a Person with Disability (Visually Handicapped, Low Vision, Hearing Impaired, Orthopedically Handicapped, etc). The applicant should have ranked 1st, 2nd, and 3rd among disabled students in the Secondary School Certificate (S.S.C.) and Higher Secondary Certificate (H.S.C.) in their respective divisional boards of education.","Offline. Step 1: Visit the District Social Welfare Office, and request a hard copy of the format of the application form for the scheme from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach all the (self-attested) mandatory documents. Step 3: Submit the duly filled and signed application form along with the documents to the Regional Deputy Commissioner, District Social Welfare Office. Step 4: Acquire the receipt/acknowledgment of the successful submission of the application form from the District Social Welfare Office.","Proof reg. the Latest Educational Qualification. Proof of securing 1st, 2nd, and 3rd among disabled students in the Secondary School Certificate (S.S.C.) and Higher Secondary Certificate (H.S.C.) in their respective divisional boards of education. Bonafide Certificate from the Institution. Aadhaar Card. 2-Passport Sized Photograph (Signed Across). Residential Certificate / Domicile Certificate of the State of Maharashtra. Disability Certificate. Details of the Bank Account (Bank Name, Branch Name, Address, IFSC, etc). Any other document required by the District Social Welfare Office."
Opening And Running Junior Colleges For VJNT Students Run By Voluntary Agencies,"The Govt. of Maharashtra vide G.R. dated 26/6/2008 has started (11th and 12th class) Junior College education by upgrading the 148 secondary Ashram Schools for educational and social development of Vimukta Jatis and Nomadic Tribes (VJNT) students. The scheme “Opening and Running Junior Colleges for VJNT Students Run by Voluntary Agencies” is implemented by the Social Justice and special assistance department in Maharashtra. Under this scheme, the government provides academic educational facilities, free lodging, and boarding in Junior Colleges. It also provides medical facilities, bedding and clothing, and uniforms to residential students. This scheme is implemented on a grant-in-aid basis to voluntary organizations.","Facilities like academic education, free lodging, and boarding along with necessary educational goods & stationery are provided to the students of the VJNT category in Junior Colleges. Medical, bedding & clothing, and uniforms are provided to the residential students.","Students should be residents of Maharashtra. Students should belong to VJNT Category. Voluntary Agency should have running Secondary Ashram School. The result of Secondary School should not below than 60%. Voluntary Agencies should be economically sound to run Junior Colleges. Building, Water supply, Electricity etc. facilities should be available. Most of Population should be VJNT nearby School place. There should not be more Junior Colleges around the Ashram School. There should not be any dispute / Court matter against the Voluntary Agency.",Offline. Step 01: The applicant should contact the Assistant Commissioner of Social Welfare of the concerned District in Maharashtra. Step 02: The applicant may also contact Head Master of the concerned Ashram School in Maharashtra. Step 03: Admissions are finalized by the Head Master of the concerned Ashram School Head Master.,Aadhaar card. Applicant's domicile certificate. Caste/category certificate.
